Height,Sets.Played,Year,Position,Errors,Points,HittingPct
78,14,3,1,2,4,-0.2
70,109,1,5,1,1,0
74,35,1,1,1,9,-0.167
73,20,1,4,13,14,-0.024
77,115,4,4,84,343,0.356
76,36,2,4,14,70.5,0.361
71,34,2,5,0,1,0
72,113,4,1,6,24.5,0.037
77,72,4,4,51,137,0.236
78,12,1,4,5,17,0.296
75,35,3,4,16,38,0.184
80,60,1,3,18,121,0.408
77,11,2,2,4,21.5,0.351
76,99,4,1,84,342,0.302
75,92,3,4,60,195,0.228
77,100,3,3,38,236.5,0.384
78,12,2,3,2,7,0.125
78,7,2,3,1,10.5,0.5
77,60,4,3,25,148,0.404
72,99,3,4,67,190,0.209
77,18,2,4,8,30.5,0.283